X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
1040.177268,0.744714,0.170901,-1.738073,-17.14786203,-9.866019456,0.575,-0.058316308,-0.101358,1
1036.415535,0.74668,8.349408,0.442165,0.454157949,-1.027123243,-2.26,2.201877127,-0.973593,1
1023.312287,0.743917,-46.93048,1.191649,-1.28656397,1.079650107,-0.839,-0.77726411,0.926226,1
538.764631,0.746279,28.387983,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
231.742594,0.749372,9.404369,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,1
665.95511,0.680672,-25.538539,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
-256.748087,0.746084,-2.420753,-1.594318,463.4645349,290.6976744,0.627,0.002157662,0.00344,1
883.524578,0.746216,-0.07125,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,1
1038.396288,0.748303,-13.019446,0.985777,-1.07481113,1.090318733,-1.01,-0.930396023,0.917163,1
1046.796437,0.748286,-14.487474,1.011211,1.898823764,-1.877772061,-0.989,0.526641819,-0.532546,1
1043.965429,0.745908,0.398717,-1.723718,19.41408089,11.26291011,0.58,0.051509006,0.088787,1
1067.206815,0.744896,-5.842327,-0.624957,-0.461638182,-0.738671912,1.6,-2.166198634,-1.353781,1
657.845805,0.746095,-49.86229,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,1
183.950974,0.749372,9.935376,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,1
162.002481,0.745381,62.235603,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
708.322502,0.744838,27.522931,-1.638067,-12.40489966,-7.572889057,0.61,-0.080613308,-0.13205,1
449.507864,0.744838,48.386722,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
-84.038174,0.746279,62.870788,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
824.557393,0.745906,9.112783,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279,1
683.746788,0.745381,25.722629,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193,1
-228.235304,0.746216,-3.178988,-1.60659,357.8151448,222.7171492,0.622,0.002794739,0.00449,1
1048.831077,0.748131,-13.283307,0.974008,1.154264938,-1.185067205,-1.03,0.866352227,-0.843834,1
317.044851,0.696091,-71.099604,-1.626685,10.18466807,6.260995874,0.615,0.098186803,0.159719,1
1040.99172,0.744934,44.072656,1.720236,-20.69979784,12.03311513,-0.581,-0.048309651,0.083104,1
844.579018,0.746095,-25.65892,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
-210.001249,0.696091,-122.848355,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,1
-467.949146,0.744162,-96.067065,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
545.324829,0.745381,35.409744,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
789.124182,0.746084,-0.16457,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439,1
400.08489,0.680672,-43.344781,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
643.357883,0.746095,-51.740138,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
308.525915,0.746095,-95.139285,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
-204.814469,0.680672,-83.856969,-1.784363,14.93128321,8.367850718,0.56,0.06697348,0.119505,1
1038.649694,0.743708,12.064231,1.001899,1.122208756,-1.120081721,-0.998,0.891099801,-0.892792,1
829.018883,0.754196,26.042069,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299,1
-529.078447,0.658266,91.542093,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,1
379.043254,0.750461,-20.244651,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,1
1044.234052,0.748536,-15.366141,1.048237,4.155037438,-3.963833979,-0.954,0.240671718,-0.252281,1
222.937062,0.749374,-35.644828,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619,1
-245.234648,0.746095,-166.914797,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
113.130553,0.746279,51.954121,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
779.604808,0.745906,10.914027,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279,1
151.37961,0.744838,72.419696,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
1030.447288,0.744162,-0.488271,-1.708547,15.67920234,9.176921877,0.585,0.063778755,0.108969,1
-383.250858,0.680672,-95.807467,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
455.783695,0.750461,-17.859177,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,1
179.226755,0.744838,70.174858,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049,1
517.852907,0.680672,-35.457452,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
-160.758548,0.746216,-2.990368,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,1
177.931759,0.745906,35.022986,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279,1
1035.797644,0.748896,-6.443396,-0.030254,0.026648909,0.880839193,33.1,37.52498843,1.135281,1
1050.259648,0.749272,-11.922828,0.80981,0.680050285,-0.839765235,-1.23,1.470479495,-1.190809,1
1041.909823,0.744865,0.074293,-1.732555,-17.93386676,-10.35110964,0.577,-0.055760423,-0.096608,1
-503.509866,0.658266,90.059889,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,1
-169.681586,0.744838,98.30136,-1.638068,-12.40490723,-7.572889057,0.61,-0.080613259,-0.13205,1
-435.048494,0.744838,119.693348,-1.638067,-12.40489966,-7.572889057,0.61,-0.080613308,-0.13205,1
235.187384,0.746279,45.196184,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
-82.897908,0.745381,79.374347,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193,1
44.523786,0.746095,-129.357843,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
1049.3753,0.744632,0.080608,-1.702441,-42.46441845,-24.9432541,0.587,-0.023549127,-0.040091,1
-376.997509,0.754196,168.956859,-1.605881,-8.43868103,-5.254860746,0.623,-0.118501931,-0.1903,1
821.999053,0.746279,12.706112,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
