X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
931.574427,0.750461,-3.069239,-1.705343,32.16960631,18.86400936,0.586,0.031085242,0.053011,11
439.968653,0.746084,-0.917777,-1.594318,463.4645349,290.6976744,0.627,0.002157662,0.00344,8
1029.315837,0.742302,43.729581,1.555056,4.29854905,-2.764240677,-0.643,0.232636638,-0.361763,15
1064.623782,0.743918,-2.242494,-1.191249,-1.285331403,-1.078977949,0.839,-0.778009467,-0.926803,6
732.666042,0.754196,37.460028,-1.60588,-8.438675775,-5.254860746,0.623,-0.118502005,-0.1903,5
132.979174,0.745906,36.82423,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279,2
1064.758949,0.744812,13.634609,-0.133817,0.076892357,0.57460829,7.47,13.00519366,1.740316,15
537.113124,0.746095,-65.511021,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
800.46288,0.749372,3.085392,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
622.861724,0.696091,-41.072552,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718,16
813.183927,0.696091,-22.385503,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718,16
-100.786032,0.754196,136.225376,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,5
1002.780741,0.749372,0.837464,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
852.999379,0.746216,-0.156578,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,-1
1046.368305,0.748316,-14.724976,0.999455,2.02557877,-2.026683312,-1,0.493686059,-0.493417,3
-335.976011,0.746279,76.81987,-1.564813,-18.06275972,-11.54307877,0.639,-0.055362526,-0.086632,0
407.318813,0.746279,35.665761,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
-140.599657,0.746095,-153.352563,-1.60977,7.715168943,4.792715073,0.621,0.12961479,0.20865,14
744.467121,0.680672,-20.28032,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
406.918114,0.744838,51.820004,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049,7
581.979086,0.750461,-13.936398,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,11
302.404682,0.696091,-72.53707,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,16
839.915152,0.745381,14.793575,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
1040.706861,0.748274,-0.217587,-1.016248,1.834548244,1.805217077,0.984,0.545093324,0.55395,3
-430.967879,0.749372,16.767659,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,17
-547.853719,0.745381,111.91312,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
1036.437364,0.748316,-9.887555,0.493086,-0.493424983,1.000687472,-2.03,-2.026650523,0.999313,3
393.158954,0.744162,-41.139215,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
-397.826398,0.658266,83.933443,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
257.231459,0.749372,9.121166,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
1021.472698,0.743156,11.071898,-0.117104,-0.070910751,-0.605536542,8.54,-14.10223391,-1.651428,15
1036.25523,0.746617,7.848476,0.389089,0.397784571,-1.022348539,-2.57,2.51392355,-0.97814,12
287.228989,0.744162,-47.896212,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
602.924182,0.749372,5.280218,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,17
892.463606,0.749374,-6.275883,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,9
712.577954,0.746095,-42.768199,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,14
793.436373,0.745906,10.359799,-1.728946,-24.95663847,-14.43459684,0.578,-0.040069499,-0.069278,2
1063.835913,0.746483,6.838954,-0.588497,0.410563644,0.697647811,1.7,2.435675968,1.433388,15
105.695011,0.746095,-121.429152,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
-245.315293,0.754196,153.352315,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,5
1052.339957,0.745936,-49.193763,1.73327,15.22014401,-8.781173165,-0.577,0.065702401,-0.11388,6
205.592111,0.658266,48.953416,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
822.06946,0.749374,-9.36374,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,9
-520.562242,0.745906,63.011548,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279,2
1051.173033,0.745049,9.235966,0.447118,-0.32487902,0.726606891,-2.24,-3.078068877,1.37626,12
-60.32113,0.658266,64.368344,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,4
411.95298,0.744162,-39.940393,-1.708548,15.67719736,9.175743006,0.585,0.063786911,0.108983,13
771.272173,0.750461,-8.052229,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,11
1045.575649,0.748393,-15.002352,0.985512,2.362074958,-2.396799793,-1.01,0.42335659,-0.417223,3
-447.446572,0.744162,-94.759259,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
876.768163,0.746279,9.673696,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
365.068352,0.746279,38.005054,-1.564812,-18.06253968,-11.54294553,0.639,-0.0553632,-0.086633,0
988.984954,0.745381,4.361297,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
978.433546,0.745906,2.946986,-1.728945,-24.9562638,-14.43438849,0.578,-0.040070101,-0.069279,2
77.115026,0.680672,-64.975182,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
-123.158972,0.746279,65.036801,-1.564813,-18.06275972,-11.54307877,0.639,-0.055362526,-0.086632,0
978.884931,0.749372,1.102967,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
-376.321899,0.746084,-2.678701,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439,8
273.124343,0.696091,-75.412,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719,16
619.211347,0.746095,-54.869884,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
532.869947,0.658266,29.981199,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,4
-6.588367,0.745381,74.034014,-1.77464,-14.28937219,-8.051983606,0.563,-0.069982081,-0.124193,1
857.990189,0.746279,10.713379,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
86.377782,0.746095,-123.932949,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
1051.767262,0.746728,6.978967,-0.083188,0.07425975,0.892673826,12,13.46624513,1.12023,12
527.578424,0.745381,36.651682,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
-267.12344,0.746279,73.007701,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
811.557242,0.696091,-22.545221,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719,16
48.032295,0.744162,-63.153948,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
715.696084,0.749374,-14.029834,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619,9
193.509298,0.749372,9.829174,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,17
351.907065,0.680672,-46.571415,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
204.165289,0.749374,-36.468257,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,9
1065.477325,0.744699,27.461129,-0.051403,0.030079337,0.585166954,19.5,33.24541369,1.708914,15
674.333323,0.746084,-0.4122,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439,8
599.15825,0.746216,-0.866148,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,-1
598.149282,0.680672,-30.079728,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
-421.470364,0.696091,-143.611742,-1.626685,10.18466807,6.260995874,0.615,0.098186803,0.159719,16
997.979772,0.746084,0.285979,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439,8
686.241749,0.745906,14.655073,-1.728946,-24.95663847,-14.43459684,0.578,-0.040069499,-0.069278,2
3.933052,0.749374,-45.251493,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,9
1048.94467,0.743749,11.985938,0.945794,-1.052903798,1.113248548,-1.06,-0.949754386,0.898272,12
414.645981,0.696091,-61.516502,-1.626686,10.18467433,6.260995874,0.615,0.098186743,0.159719,16
-64.940511,0.746095,-143.546025,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
1023.306075,0.743918,-46.926124,1.191061,-1.284751503,1.078661381,-0.84,-0.778360638,0.927075,6
629.728694,0.750461,-12.452103,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,11
529.375644,0.746279,28.907824,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
1021.691268,0.746216,0.314972,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,-1
1035.950428,0.744519,44.102255,1.686093,-71.07119373,42.15140786,-0.593,-0.014070398,0.023724,15
339.416518,0.680672,-47.40795,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
242.495397,0.746216,-1.863139,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,-1
527.408106,0.750461,-15.632735,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,11
856.219771,0.749372,2.465884,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
477.072914,0.749372,6.678536,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
674.611613,0.749372,4.483709,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
22.626541,0.750461,-31.323852,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,11
884.758089,0.696091,-15.357895,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,16
291.521306,0.746279,42.077136,-1.56485,-18.05964293,-11.54081409,0.639,-0.05537208,-0.086649,0
806.350742,0.746279,13.572514,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
1063.070755,0.744027,39.178401,0.824448,-0.660370391,0.800984891,-1.21,-1.51430169,1.248463,15
1046.391032,0.748326,-14.84253,0.99592,2.058072902,-2.066504239,-1,0.485891437,-0.483909,3
98.343173,0.754196,112.62826,-1.605881,-8.43868103,-5.254860746,0.623,-0.118501931,-0.1903,5
197.245495,0.744838,68.722315,-1.638067,-12.40489966,-7.572889057,0.61,-0.080613308,-0.13205,7
398.284597,0.744162,-40.812263,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
384.572178,0.658266,38.577985,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,4
-423.097049,0.696091,-143.771461,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,16
565.722283,0.744162,-30.131848,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
480.259022,0.749372,6.643135,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
1038.452301,0.748224,-1.699196,-0.940951,1.017838522,1.081712567,1.06,0.982474114,0.92446,3
