X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
-446.471868,0.746084,-2.83003,-1.594317,463.4642442,290.6976744,0.627,0.002157664,0.00344,1
-532.873963,0.744162,-100.20845,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
999.632798,0.745381,3.616137,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193,1
-443.91923,0.680672,-99.870636,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
963.912861,0.754196,10.056926,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,1
1052.507144,0.746591,0.723919,-1.698505,45.15019006,26.58231213,0.589,0.022148301,0.037619,1
805.94456,0.746095,-30.666514,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
-389.910714,0.745381,100.859873,-1.774641,-14.28938024,-8.051983606,0.563,-0.069982041,-0.124193,1
1033.944896,0.744847,0.656714,-1.736871,-11.50100981,-6.621683364,0.576,-0.086948887,-0.151019,1
203.797765,0.744838,68.194118,-1.638068,-12.40490723,-7.572889057,0.61,-0.080613259,-0.13205,1
226.046976,0.658266,47.767653,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,1
40.248621,0.658266,58.538339,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,1
1042.428837,0.746636,-1.255524,-0.979413,-2.536563952,-2.58988185,1.02,-0.394234097,-0.386118,1
-4.070252,0.658266,61.107494,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,1
680.194987,0.744162,-22.829931,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
-224.30765,0.746095,-164.20235,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,1
832.815619,0.744838,17.487184,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
-363.734957,0.658266,81.957171,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,1
714.874771,0.744838,26.994734,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
905.750243,0.746095,-17.730229,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,1
-250.963573,0.744162,-82.226118,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
1021.175268,0.744795,18.12363,0.06582,0.038444443,-0.584084515,-15.2,26.01156184,-1.712081,1
404.885868,0.696091,-62.474813,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,1
414.459573,0.746084,-0.972806,-1.594317,463.4642442,290.6976744,0.627,0.002157664,0.00344,1
387.088446,0.746216,-1.458953,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,1
-107.435028,0.744838,93.283487,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
745.692026,0.750461,-8.847387,-1.705343,32.17021317,18.86436521,0.586,0.031084656,0.05301,1
-207.122743,0.745381,88.067912,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
384.167541,0.746084,-1.038153,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439,1
-416.692711,0.744162,-92.79755,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
-251.673724,0.746095,-167.749396,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,1
470.802739,0.744838,46.670081,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
-230.778336,0.658266,74.249707,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,1
380.978906,0.746084,-1.045032,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439,1
-246.780616,0.746279,71.88137,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
89.681211,0.658266,55.672744,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,1
-483.175236,0.680672,-102.499746,-1.784363,14.93128321,8.367850718,0.56,0.06697348,0.119505,1
543.550188,0.745381,35.533938,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
354.458617,0.696091,-67.426082,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718,1
1047.405919,0.746237,0.539072,-1.713677,22.39222527,13.0667712,0.584,0.044658357,0.07653,1
1069.103133,0.746214,-28.015569,-0.077155,-0.045004949,-0.583305675,13,-22.21977837,-1.714367,1
1046.931959,0.745559,13.258883,1.004633,-1.793395039,1.785124557,-0.995,-0.557601632,0.560185,1
-205.168276,0.754196,148.594832,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,1
988.432015,0.744838,4.9425,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
1051.713335,0.748843,-9.047082,0.196642,0.158680666,-0.806952053,-5.09,6.301964992,-1.239231,1
460.974335,0.744838,47.462377,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,1
-144.676812,0.749374,-51.7703,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,1
-524.020133,0.745906,63.150105,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279,1
845.068393,0.749372,2.589785,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,1
1047.413381,0.745936,-49.382155,1.731439,18.062352,-10.43198865,-0.578,0.055363775,-0.095859,1
-110.862652,0.744162,-73.289444,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
1033.542536,0.743827,44.051374,1.640211,26.89487751,-16.39720592,-0.61,0.037181802,-0.060986,1
667.202339,0.749374,-16.157024,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619,1
138.109447,0.696091,-88.668625,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,1
-119.165002,0.680672,-78.12073,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
-466.240598,0.744162,-95.958081,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,1
-313.831511,0.744838,109.9217,-1.638068,-12.40500117,-7.572946406,0.61,-0.080612649,-0.132049,1
1.506983,0.746216,-2.536782,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,1
760.871026,0.746095,-36.508706,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,1
