X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
402.6243,0.746279,35.925689,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
-199.316695,0.746216,-3.09815,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,1
824.763496,0.680672,-14.902596,-1.784364,14.93141652,8.367920739,0.56,0.066972882,0.119504,1
612.311677,0.746279,24.3159,-1.564812,-18.06253968,-11.54294553,0.639,-0.0553632,-0.086633,0
600.994719,0.746084,-0.570408,-1.594318,463.5993021,290.7822041,0.627,0.002157035,0.003439,1
114.695365,0.746279,51.867489,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
69.31528,0.746279,54.380047,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
585.658735,0.680672,-30.916263,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
-366.80945,0.749374,-61.514203,-1.564315,22.79711159,14.57322316,0.639,0.043865206,0.068619,1
129.841548,0.746095,-118.299406,-1.60977,7.715168943,4.792715073,0.621,0.12961479,0.20865,1
-415.782382,0.746279,81.238513,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
-266.793451,0.746216,-3.28677,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,1
775.054118,0.746279,15.305318,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
432.478134,0.746095,-79.073254,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,1
-379.791284,0.746279,79.245796,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
293.023057,0.680672,-50.51508,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,1
-88.732687,0.746279,63.130716,-1.564812,-18.06253968,-11.54294553,0.639,-0.0553632,-0.086633,0
573.190917,0.746279,26.481898,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
