X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
1069.013477,0.746479,-29.9267,-0.069716,-0.04081322,-0.58542114,14.3,-24.50186471,-1.708172,6
161.6403,0.746279,49.268282,-1.564812,-18.06274818,-11.54307877,0.639,-0.055362561,-0.086632,0
-309.373863,0.746279,75.346979,-1.56485,-18.05985135,-11.54094728,0.639,-0.055371441,-0.086648,0
975.773759,0.744162,-3.975729,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
1008.552725,0.680672,-2.59276,-1.784301,14.90494687,8.353381449,0.56,0.067091819,0.119712,10
102.484856,0.749374,-40.928494,-1.564314,22.79709701,14.57322316,0.639,0.043865234,0.068619,9
-175.840854,0.696091,-119.494269,-1.626685,10.18473184,6.261035074,0.615,0.098186188,0.159718,16
-24.696284,0.746095,-138.329782,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,14
-463.715066,0.754196,179.233023,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,5
-43.275409,0.658266,63.380207,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
242.525383,0.746095,-103.693924,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
9.539931,0.746216,-2.514327,-1.60659,357.7354709,222.6675573,0.622,0.002795362,0.004491,-1
1001.627263,0.658266,2.807449,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
880.078777,0.680672,-11.197941,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
1061.386787,0.744975,40.996569,1.062302,-0.992359509,0.934159504,-0.941,-1.007699317,1.070481,15
468.335057,0.744162,-36.343926,-1.708547,15.67704434,9.175658812,0.585,0.063787534,0.108984,13
1022.801635,0.74614,36.822534,0.526631,0.352506761,-0.669361964,-1.9,2.836825025,-1.49396,15
-302.36504,0.744838,108.997354,-1.638067,-12.40489966,-7.572889057,0.61,-0.080613308,-0.13205,7
-24.525117,0.658266,62.293257,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
-146.748644,0.744838,96.45267,-1.638067,-12.4049936,-7.572946406,0.61,-0.080612698,-0.132049,7
-172.795039,0.746095,-157.525558,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
530.074904,0.746216,-1.059259,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,-1
295.866497,0.754196,89.221444,-1.605881,-8.438725374,-5.25488836,0.623,-0.118501309,-0.190299,5
666.782233,0.696091,-36.760156,-1.626686,10.1847381,6.261035074,0.615,0.098186128,0.159718,16
703.267833,0.745381,24.356497,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
759.261257,0.746095,-36.717356,-1.609769,7.71516415,4.792715073,0.621,0.12961487,0.20865,14
202.725417,0.754196,100.258804,-1.605881,-8.43868103,-5.254860746,0.623,-0.118501931,-0.1903,5
1019.264755,0.745956,-29.763754,0.098597,-0.05691468,0.577245557,-10.1,-17.57015934,1.732365,6
-223.960048,0.658266,73.854452,-1.704572,-17.25030866,-10.12002348,0.587,-0.057969977,-0.098814,4
973.013189,0.745381,5.479041,-1.77464,-14.28937219,-8.051983606,0.563,-0.069982081,-0.124193,1
