X,Y,Z,slop(x),slop(x/z),slop(1/z),slop(1/x),slop(z/x),slop(z),Label
701.693531,0.749372,4.182805,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
412.226791,0.745381,44.724279,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
1047.87543,0.744275,12.673411,1.009066,-1.428551609,1.415716721,-0.991,-0.700009712,0.706356,12
123.208399,0.744162,-58.35866,-1.708548,15.67705351,9.175658812,0.585,0.063787497,0.108984,13
922.90351,0.680672,-8.329822,-1.784364,14.93129158,8.367850718,0.56,0.066973443,0.119505,10
-243.709413,0.754196,153.162016,-1.60588,-8.438720119,-5.25488836,0.623,-0.118501382,-0.190299,5
1051.270424,0.744655,11.374341,0.57986,-0.431030382,0.743335256,-1.72,-2.320022074,1.345288,12
1002.780741,0.749372,0.837464,-1.593054,-90.00305085,-56.49717514,0.628,-0.011110734,-0.0177,17
-465.101593,0.750461,-46.484863,-1.705344,32.16962517,18.86400936,0.586,0.031085224,0.053011,11
-464.40395,0.746216,-3.839157,-1.606589,357.7352483,222.6675573,0.622,0.002795363,0.004491,-1
250.859243,0.749372,9.191966,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,17
1039.219069,0.743695,3.091973,-0.901991,-0.918168206,-1.017934997,1.11,-1.089125058,-0.982381,12
-269.23516,0.745381,92.414695,-1.774641,-14.28926518,-8.051918772,0.563,-0.069982605,-0.124194,1
-438.500281,0.746084,-2.812834,-1.594317,463.5990113,290.7822041,0.627,0.002157037,0.003439,8
873.633321,0.745381,12.433893,-1.77464,-14.28925713,-8.051918772,0.563,-0.069982644,-0.124194,1
46.948328,0.749372,11.457594,-1.593054,-89.99796622,-56.49398339,0.628,-0.011111362,-0.017701,17
81.548475,0.746095,-124.558899,-1.609769,7.715201127,4.792738043,0.621,0.129614249,0.208649,14
454.459632,0.658266,34.526626,-1.704572,-17.25048324,-10.12012589,0.587,-0.057969391,-0.098813,4
-93.512692,0.745906,45.899729,-1.728946,-24.95627824,-14.43438849,0.578,-0.040070077,-0.069279,2
